Lineage,support,mean_fold_accuracy,std_fold_accuracy,fold_count,ensemble_accuracy
Biliary Tract,5,0.6444444444444444,0.13333333333333336,9,0.6
Bladder/Urinary Tract,4,0.4166666666666667,0.125,9,0.5
Bone,6,0.7777777777777778,0.08333333333333338,9,0.8333333333333334
Bowel,9,0.9876543209876544,0.03703703703703705,9,1.0
Breast,7,0.6984126984126984,0.08584645893961876,9,0.7142857142857143
CNS/Brain,10,0.8666666666666667,0.04999999999999999,9,0.9
Cervix,2,0.3888888888888889,0.22047927592204922,9,0.5
Esophagus/Stomach,9,0.48148148148148145,0.09622504486493763,9,0.4444444444444444
Eye,2,0.7777777777777778,0.26352313834736496,9,1.0
Fibroblast,4,0.8611111111111112,0.13176156917368245,9,1.0
Head and Neck,7,1.0,0.0,9,1.0
Kidney,6,0.6666666666666666,0.08333333333333336,9,0.6666666666666666
Liver,3,0.1111111111111111,0.2357022603955158,9,0.3333333333333333
Lung,22,0.8636363636363636,0.05081972676135884,9,0.9090909090909091
Lymphoid,19,1.0,0.0,9,1.0
Myeloid,8,0.875,0.0,9,0.875
Ovary/Fallopian Tube,6,0.6296296296296295,0.1111111111111111,9,0.8333333333333334
Pancreas,6,0.6111111111111112,0.11785113019775793,9,0.6666666666666666
Peripheral Nervous System,5,0.9777777777777779,0.06666666666666667,9,1.0
Pleura,2,0.9444444444444444,0.16666666666666666,9,1.0
Prostate,1,0.6666666666666666,0.5,9,1.0
Skin,12,0.8333333333333334,0.0,9,0.8333333333333334
Soft Tissue,9,0.5555555555555556,0.09622504486493764,9,0.6666666666666666
Testis,1,0.1111111111111111,0.3333333333333333,9,0.0
Thyroid,2,0.4444444444444444,0.4639803635691685,9,0.5
Uterus,5,0.5555555555555556,0.1333333333333333,9,0.6
