Lineage,accuracy,support,fold
Biliary Tract,0.6,5,0
Biliary Tract,0.8,5,1
Biliary Tract,0.8,5,2
Biliary Tract,0.6,5,3
Biliary Tract,0.4,5,4
Biliary Tract,0.8,5,5
Biliary Tract,0.6,5,6
Biliary Tract,0.6,5,7
Biliary Tract,0.6,5,8
Bladder/Urinary Tract,0.5,4,0
Bladder/Urinary Tract,0.25,4,1
Bladder/Urinary Tract,0.5,4,2
Bladder/Urinary Tract,0.5,4,3
Bladder/Urinary Tract,0.25,4,4
Bladder/Urinary Tract,0.5,4,5
Bladder/Urinary Tract,0.25,4,6
Bladder/Urinary Tract,0.5,4,7
Bladder/Urinary Tract,0.5,4,8
Bone,0.6666666666666666,6,0
Bone,0.8333333333333334,6,1
Bone,0.8333333333333334,6,2
Bone,0.8333333333333334,6,3
Bone,0.6666666666666666,6,4
Bone,0.8333333333333334,6,5
Bone,0.6666666666666666,6,6
Bone,0.8333333333333334,6,7
Bone,0.8333333333333334,6,8
Bowel,1.0,9,0
Bowel,1.0,9,1
Bowel,1.0,9,2
Bowel,1.0,9,3
Bowel,1.0,9,4
Bowel,1.0,9,5
Bowel,0.8888888888888888,9,6
Bowel,1.0,9,7
Bowel,1.0,9,8
Breast,0.8571428571428571,7,0
Breast,0.7142857142857143,7,1
Breast,0.7142857142857143,7,2
Breast,0.5714285714285714,7,3
Breast,0.7142857142857143,7,4
Breast,0.7142857142857143,7,5
Breast,0.5714285714285714,7,6
Breast,0.7142857142857143,7,7
Breast,0.7142857142857143,7,8
CNS/Brain,0.9,10,0
CNS/Brain,0.9,10,1
CNS/Brain,0.8,10,2
CNS/Brain,0.9,10,3
CNS/Brain,0.9,10,4
CNS/Brain,0.8,10,5
CNS/Brain,0.8,10,6
CNS/Brain,0.9,10,7
CNS/Brain,0.9,10,8
Cervix,0.5,2,0
Cervix,0.5,2,1
Cervix,0.5,2,2
Cervix,0.0,2,3
Cervix,0.0,2,4
Cervix,0.5,2,5
Cervix,0.5,2,6
Cervix,0.5,2,7
Cervix,0.5,2,8
Esophagus/Stomach,0.4444444444444444,9,0
Esophagus/Stomach,0.4444444444444444,9,1
Esophagus/Stomach,0.6666666666666666,9,2
Esophagus/Stomach,0.4444444444444444,9,3
Esophagus/Stomach,0.4444444444444444,9,4
Esophagus/Stomach,0.5555555555555556,9,5
Esophagus/Stomach,0.4444444444444444,9,6
Esophagus/Stomach,0.3333333333333333,9,7
Esophagus/Stomach,0.5555555555555556,9,8
Eye,1.0,2,0
Eye,0.5,2,1
Eye,1.0,2,2
Eye,1.0,2,3
Eye,0.5,2,4
Eye,1.0,2,5
Eye,0.5,2,6
Eye,0.5,2,7
Eye,1.0,2,8
Fibroblast,0.75,4,0
Fibroblast,0.75,4,1
Fibroblast,0.75,4,2
Fibroblast,0.75,4,3
Fibroblast,1.0,4,4
Fibroblast,1.0,4,5
Fibroblast,0.75,4,6
Fibroblast,1.0,4,7
Fibroblast,1.0,4,8
Head and Neck,1.0,7,0
Head and Neck,1.0,7,1
Head and Neck,1.0,7,2
Head and Neck,1.0,7,3
Head and Neck,1.0,7,4
Head and Neck,1.0,7,5
Head and Neck,1.0,7,6
Head and Neck,1.0,7,7
Head and Neck,1.0,7,8
Kidney,0.5,6,0
Kidney,0.6666666666666666,6,1
Kidney,0.8333333333333334,6,2
Kidney,0.6666666666666666,6,3
Kidney,0.6666666666666666,6,4
Kidney,0.6666666666666666,6,5
Kidney,0.6666666666666666,6,6
Kidney,0.6666666666666666,6,7
Kidney,0.6666666666666666,6,8
Liver,0.0,3,0
Liver,0.0,3,1
Liver,0.0,3,2
Liver,0.0,3,3
Liver,0.3333333333333333,3,4
Liver,0.0,3,5
Liver,0.6666666666666666,3,6
Liver,0.0,3,7
Liver,0.0,3,8
Lung,0.9090909090909091,22,0
Lung,0.9090909090909091,22,1
Lung,0.8636363636363636,22,2
Lung,0.9090909090909091,22,3
Lung,0.8181818181818182,22,4
Lung,0.9090909090909091,22,5
Lung,0.8636363636363636,22,6
Lung,0.8181818181818182,22,7
Lung,0.7727272727272727,22,8
Lymphoid,1.0,19,0
Lymphoid,1.0,19,1
Lymphoid,1.0,19,2
Lymphoid,1.0,19,3
Lymphoid,1.0,19,4
Lymphoid,1.0,19,5
Lymphoid,1.0,19,6
Lymphoid,1.0,19,7
Lymphoid,1.0,19,8
Myeloid,0.875,8,0
Myeloid,0.875,8,1
Myeloid,0.875,8,2
Myeloid,0.875,8,3
Myeloid,0.875,8,4
Myeloid,0.875,8,5
Myeloid,0.875,8,6
Myeloid,0.875,8,7
Myeloid,0.875,8,8
Ovary/Fallopian Tube,0.5,6,0
Ovary/Fallopian Tube,0.8333333333333334,6,1
Ovary/Fallopian Tube,0.5,6,2
Ovary/Fallopian Tube,0.6666666666666666,6,3
Ovary/Fallopian Tube,0.6666666666666666,6,4
