feature,mean_abs_shap,fold
PAX8 (7849),0.0012630564607461795,0
PTPN6 (5777),0.0009599450688427436,0
FKBP9 (11328),0.0008826293939301185,0
FOXA1 (3169),0.0008783374325184286,0
SPN (6693),0.0008494579039459327,0
SOX10 (6663),0.000840634681400759,0
RNF212 (285498),0.0008154300015891133,0
SLC35D2 (11046),0.0007512590600497647,0
C2orf74 (339804),0.0007219097039063045,0
PARVA (55742),0.0007046193124260246,0
IFFO1 (25900),0.0006985016074984715,0
EFHD1 (80303),0.0005830608235994145,0
CYBA (1535),0.0005492717517870231,0
ARHGEF6 (9459),0.0005392910346091674,0
IRF4 (3662),0.0005198495322738065,0
XAGE1A (653220),0.0005041379468692228,0
LYL1 (4066),0.000476547079819498,0
LTBR (4055),0.00041195189574184287,0
HOXD8 (3234),0.00040047626672706473,0
CYB561 (1534),0.00040041027005877913,0
MGP (4256),0.0003930398742981431,0
IKZF1 (10320),0.00038481420573809456,0
ARHGAP30 (257106),0.00038344896119229366,0
BNIP3 (664),0.0003755437836592557,0
INA (9118),0.000372647350440918,0
GAS6 (2621),0.0003557427445848724,0
HNMT (3176),0.0003550924823728115,0
WAS (7454),0.000350913987601026,0
HHEX (3087),0.0003454280662190349,0
KRT5 (3852),0.0003387142123522837,0
KRT20 (54474),0.0003368952562306522,0
CCL28 (56477),0.0003127364526980421,0
DDR2 (4921),0.00031023969117946454,0
TES (26136),0.0003095408300834391,0
LTBP2 (4053),0.0003057078881532382,0
XAGE1B (653067),0.00030327460427975516,0
DCN (1634),0.00028958188986267955,0
PRTFDC1 (56952),0.0002879198271496554,0
HOXA9 (3205),0.0002805666029748388,0
IRX2 (153572),0.0002758029706859698,0
KIAA0040 (9674),0.0002649449257553207,0
TESC (54997),0.00025994890298364405,0
LY6K (54742),0.0002470706393863783,0
GABRB3 (2562),0.00024281207485874384,0
MZB1 (51237),0.00024064398049241406,0
TSPYL5 (85453),0.00024042941230323518,0
GAS1 (2619),0.00023484859709406195,0
LAPTM4B (55353),0.00023363225466881889,0
CDH11 (1009),0.00023313620929439488,0
MPDZ (8777),0.00022918938186700403,0
SLFN11 (91607),0.00022346663659192104,0
S100B (6285),0.00022190921893283213,0
TYRP1 (7306),0.00022114560239584004,0
CDH13 (1012),0.00021834827325248817,0
HSPA1A (3303),0.00021108518291558756,0
INSM1 (3642),0.00020586119185232455,0
RNF43 (54894),0.000201102173622563,0
BACE2 (25825),0.00019614529387499758,0
GRAMD1B (57476),0.00019340397850101468,0
